CATEGORIA;CLASE;SUBCATEGORIA;SUBCATEGORIA2;TIPO DOCUMENTO;LECTURA;ESCRITURA;
DOCUMENTOS ARQUITECTURA-ODI;PERMISOS;PERMISO DE DEMOLICIÓN;;;INMOB, ARQ,TEC,CONS, LEG;INMOB, ARQ
DOCUMENTOS ARQUITECTURA-ODI;PERMISOS;PERMISO EXCAVACIÓN;;;INMOB, ARQ,TEC,CONS, LEG;INMOB, ARQ
DOCUMENTOS ARQUITECTURA-ODI;PERMISOS;PERMISO INSTALACIÓN DE FAENAS;;;INMOB, ARQ,TEC,CONS, LEG;INMOB, ARQ
DOCUMENTOS ARQUITECTURA-ODI;PERMISOS;PERMISO SALA DE VENTAS;;;INMOB, ARQ,TEC,CONS,COM,MKT, CLI, LEG;INMOB, ARQ
DOCUMENTOS ARQUITECTURA-ODI;PERMISOS;PERMISO EDIFICACIÓN;;;INMOB, ARQ,TEC,CONS,COM, CLI, LEG;INMOB, ARQ
DOCUMENTOS ARQUITECTURA-ODI;PERMISOS;PERMISO GRÚA;;;INMOB, ARQ,TEC,CONS, LEG;INMOB, ARQ
DOCUMENTOS ARQUITECTURA-ODI;PERMISOS;TEP APROBADO;;;INMOB, ARQ,TEC,CONS, LEG;INMOB, ARQ
DOCUMENTOS ARQUITECTURA-ODI;PERMISOS;PROYECTO URBANIZACIÓN;;;INMOB, ARQ,TEC,CONS, LEG;INMOB, ARQ
DOCUMENTOS ARQUITECTURA-ODI;PERMISOS;CERTIFICADO DASA;;;INMOB, ARQ,TEC,CONS, LEG;INMOB, ARQ
DOCUMENTOS ARQUITECTURA-ODI;PERMISOS;CERT SEREMI BASURA;;;INMOB, ARQ,TEC,CONS, LEG;INMOB, ARQ
DOCUMENTOS ARQUITECTURA-ODI;PERMISOS;MP;;;INMOB, ARQ,TEC,CONS,COM, CLI, LEG;INMOB, ARQ
DOCUMENTOS ARQUITECTURA-ODI;PERMISOS;CERT ASIGNACIÓN DE ROLES UNIDADES;;;INMOB, ARQ,TEC,CONS,COM, CLI, LEG;INMOB, ARQ
DOCUMENTOS ARQUITECTURA-ODI;PERMISOS;PRORRATEO 2803;;;INMOB, ARQ,TEC,COM, CLI, LEG;INMOB, ARQ
DOCUMENTOS ARQUITECTURA-ODI;PERMISOS;COPROPIEDAD;;;INMOB, ARQ,TEC,CONS,COM, CLI, LEG;INMOB, ARQ
DOCUMENTOS ARQUITECTURA-ODI;PERMISOS;RECEPCIÓN MUNICIPAL;;;INMOB, ARQ,TEC,CONS,COM, CLI, LEG;INMOB, ARQ
DOCUMENTOS ARQUITECTURA-ODI;PERMISOS;SERVIDUMBRES;;;INMOB, ARQ,TEC,CONS,COM, CLI, LEG;INMOB, ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ARQUITECTURA Y FICHA DE COSTEO DICH;;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);DETALLES;;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES EDIFICIOS Y CASAS;CÁLCULO;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES EDIFICIOS Y CASAS;ELECTRICO ALUMBRADO-FUERZA;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES EDIFICIOS Y CASAS;ELECTRICO CD-SEGURIDAD;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES EDIFICIOS Y CASAS;ELECTRICO TELECOM;;INMOB, ARQ,TEC,CONS, CLI;ARQ
DOCUMENTOS ARQUITECTURA-ODI;VERSIÓN PRESUPUESTO (ARQ 7);ESPECIALIDADES EDIFICIOS Y CASAS;SANITARIO AGUA POTABLE;;INMOB, ARQ,TEC,CONS, CLI;ARQ
